🇨🇳| 央视,#genre#
天津卫视,http://13457610200.8866.org:2018/live/天津卫视高清/index.m3u8
天津卫视,http://caiyehe.7766.org:9901/tsfile/live/1024_1.m3u8
天津卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=tjws$r7d 8M FHD
山东卫视,https://i.125011.xyz/migu.php?id=sdws
山东卫视,http://36.129.204.120:880/DXSDWS.m3u8
山东卫视,http://13457610200.8866.org:2018/live/山东卫视高清/index.m3u8
山东卫视,http://caiyehe.7766.org:9901/tsfile/live/1061_1.m3u8
山东卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=sdws$r7d 8M FHD
安徽卫视,http://36.129.204.120:880/DXXAH.m3u8
安徽卫视,http://13457610200.8866.org:2018/live/广东卫视HD/index.m3u8
安徽卫视,http://caiyehe.7766.org:9901/tsfile/live/1046_1.m3u8
安徽卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=ahws$r7d 8M FHD
江西卫视,https://i.125011.xyz/migu.php?id=jxws
江西卫视,http://36.129.204.120:880/CCN118.m3u8
江西卫视,http://caiyehe.7766.org:9901/tsfile/live/1092_1.m3u8
江西卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=jxws$r7d 8M FHD
黑龙江卫视,http://36.129.204.120:880/DXHLJWS.m3u8
黑龙江卫视,http://13457610200.8866.org:2018/live/黑龙江卫视高清/index.m3u8
黑龙江卫视,http://caiyehe.7766.org:9901/tsfile/live/1027_1.m3u8
黑龙江卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hljws$r7d 8M FHD
四川卫视,https://i.125011.xyz/migu.php?id=scws
四川卫视,http://36.129.204.120:880/DXSCWS.m3u8
四川卫视,http://13457610200.8866.org:2018/live/四川卫视HD/index.m3u8
四川卫视,http://caiyehe.7766.org:9901/tsfile/live/1091_1.m3u8
四川卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=scws$r7d 8M FHD
贵州卫视,http://36.129.204.120:880/DXGZWS.m3u8
贵州卫视,http://13457610200.8866.org:2018/live/贵州卫视/index.m3u8
贵州卫视,http://13457610200.8866.org:2018/live/贵州卫视高清/index.m3u8
贵州卫视,http://caiyehe.7766.org:9901/tsfile/live/1062_1.m3u8
贵州卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=gzws$r7d 8M FHD
湖北卫视,https://i.125011.xyz/hubei.php?id=hbws
湖北卫视,https://i.125011.xyz/migu.php?id=hubws
湖北卫视,http://36.129.204.120:880/DXHBWSs.m3u8
湖北卫视,http://13457610200.8866.org:2018/live/湖北卫视/index.m3u8
湖北卫视,http://13457610200.8866.org:2018/live/湖北卫视高清/index.m3u8
湖北卫视,http://caiyehe.7766.org:9901/tsfile/live/1060_1.m3u8
湖北卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hubei$r7d 8M FHD
辽宁卫视,https://i.125011.xyz/migu.php?id=lnws
辽宁卫视,http://36.129.204.120:880/DX14.m3u8
辽宁卫视,http://13457610200.8866.org:2018/live/辽宁卫视HD/index.m3u8
辽宁卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=lnws$r7d 8M FHD
广西卫视,http://36.129.204.120:880/DXGCWS.m3u8
广西卫视,http://13457610200.8866.org:2018/live/广西卫视HD/index.m3u8
广西卫视,http://13457610200.8866.org:2018/live/汽摩HD/index.m3u8
广西卫视,http://caiyehe.7766.org:9901/tsfile/live/1039_1.m3u8
广西卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=gxws$r7d 8M FHD
